audio,frase
Sounds/f000.mp3,No te preocupes.
Sounds/f001.mp3,No hay problema.
Sounds/f002.mp3,Gracias por tu ayuda.
Sounds/f003.mp3,Me encanta eso.
Sounds/f004.mp3,Estoy muy contenta.
Sounds/f005.mp3,Me alegro mucho.
Sounds/f006.mp3,Es una gran idea.
Sounds/f007.mp3,Me gusta mucho.
Sounds/f008.mp3,Me parece genial.
Sounds/f009.mp3,Me divierto mucho haciendo eso.
Sounds/f010.mp3,Me siento muy bien.
Sounds/f011.mp3,Es un placer verte.
Sounds/f012.mp3,Estoy muy emocionado.
Sounds/f013.mp3,Me gustaría mucho.
Sounds/f014.mp3,Me gusta esa persona.
Sounds/f015.mp3,Me gusta ese lugar.
Sounds/f016.mp3,Me gusta ese libro.
Sounds/f017.mp3,Me gusta esa película.
Sounds/f018.mp3,Me gusta esa canción.
Sounds/f019.mp3,Me gusta ese parque.
Sounds/f020.mp3,Vamos a comer.
Sounds/f021.mp3,Hacé la cama.
Sounds/f022.mp3,Limpiá la cocina.
Sounds/f023.mp3,¿Querés ver una película?
Sounds/f024.mp3,Apagá las luces.
Sounds/f025.mp3,Encendé la televisión.
Sounds/f026.mp3,Vamos a jugar un juego.
Sounds/f027.mp3,Prepará la cena.
Sounds/f028.mp3,Lavar la ropa.
Sounds/f029.mp3,Recoger los juguetes.
Sounds/f030.mp3,Poné la mesa.